year,week,territory,continent,cases,deaths,population
2020,8,North_Macedonia,Europe,0,0,2082958
2020,8,Norway,Europe,0,0,5314336
2020,8,Oman,Asia,2,0,4829483
2020,8,Pakistan,Asia,0,0,212215030
2020,8,Philippines,Asia,0,0,106651922
2020,8,Qatar,Asia,0,0,2781677
2020,8,Romania,Europe,0,0,19473936
2020,8,Russia,Europe,0,0,144478050
2020,8,San_Marino,Europe,0,0,33785
2020,8,Singapore,Asia,13,0,5638676
2020,8,South_Korea,Asia,861,8,51635256
2020,8,Spain,Europe,1,0,46723749
2020,8,Sri_Lanka,Asia,0,0,21670000
2020,8,Sweden,Europe,0,0,10183175
2020,8,Switzerland,Europe,0,0,8516543
2020,8,Taiwan,Asia,8,0,23780452
2020,8,Thailand,Asia,2,0,69428524
2020,8,United_Arab_Emirates,Asia,4,0,9630959
2020,8,United_Kingdom,Europe,4,0,66488991
2020,8,United_States_of_America,America,38,0,327167434
2020,8,Vietnam,Asia,0,0,95540395
2020,9,Afghanistan,Asia,0,0,37172386
2020,9,Algeria,Africa,3,0,42228429
2020,9,Andorra,Europe,1,0,77006
2020,9,Armenia,Europe,1,0,2951776
2020,9,Australia,Oceania,11,1,24992369
2020,9,Austria,Europe,18,0,8847037
2020,9,Azerbaijan,Europe,3,0,9942334
2020,9,Bahrain,Asia,45,0,1569439
2020,9,Belarus,Europe,1,0,9485386
2020,9,Belgium,Europe,7,0,11422068
2020,9,Brazil,America,2,0,209469333
2020,9,Cambodia,Asia,0,0,16249798
2020,9,Canada,America,16,0,37058856
2020,9,China,Asia,2512,281,1392730000
2020,9,Croatia,Europe,8,0,4089400
2020,9,Czechia,Europe,5,0,10625695
2020,9,Denmark,Europe,5,0,5797446
2020,9,Dominican_Republic,America,1,0,10627165
2020,9,Ecuador,America,7,0,17084357
2020,9,Egypt,Africa,1,0,98423595
2020,9,Estonia,Europe,1,0,1320884
2020,9,Finland,Europe,5,0,5518050
2020,9,France,Europe,166,2,66987244
2020,9,Georgia,Europe,3,0,3731000
2020,9,Germany,Europe,142,0,82927922
2020,9,Greece,Europe,7,0,10727668
2020,9,Iceland,Europe,6,0,353574
2020,9,India,Asia,2,0,1352617328
2020,9,Indonesia,Asia,2,0,267663435
2020,9,Iran,Asia,1440,54,81800269
