date,year,month,day,territory,continent,population,cases,deaths
2020-04-16,2020,4,16,Algeria,Africa,42228429,90,11
2020-04-15,2020,4,15,Algeria,Africa,42228429,87,12
2020-04-14,2020,4,14,Algeria,Africa,42228429,69,20
2020-04-13,2020,4,13,Algeria,Africa,42228429,89,18
2020-04-12,2020,4,12,Algeria,Africa,42228429,64,19
2020-04-11,2020,4,11,Algeria,Africa,42228429,95,21
2020-04-10,2020,4,10,Algeria,Africa,42228429,94,30
2020-04-09,2020,4,9,Algeria,Africa,42228429,104,12
2020-04-08,2020,4,8,Algeria,Africa,42228429,45,20
2020-04-07,2020,4,7,Algeria,Africa,42228429,103,21
2020-04-06,2020,4,6,Algeria,Africa,42228429,69,22
2020-04-05,2020,4,5,Algeria,Africa,42228429,80,25
2020-04-04,2020,4,4,Algeria,Africa,42228429,185,42
2020-04-03,2020,4,3,Algeria,Africa,42228429,139,5
2020-04-02,2020,4,2,Algeria,Africa,42228429,131,14
2020-04-01,2020,4,1,Algeria,Africa,42228429,132,9
2020-03-31,2020,3,31,Algeria,Africa,42228429,73,4
2020-03-30,2020,3,30,Algeria,Africa,42228429,57,2
2020-03-29,2020,3,29,Algeria,Africa,42228429,45,3
2020-03-28,2020,3,28,Algeria,Africa,42228429,42,1
2020-03-27,2020,3,27,Algeria,Africa,42228429,65,4
2020-03-26,2020,3,26,Algeria,Africa,42228429,38,2
2020-03-25,2020,3,25,Algeria,Africa,42228429,34,2
2020-03-24,2020,3,24,Algeria,Africa,42228429,29,0
2020-03-23,2020,3,23,Algeria,Africa,42228429,62,2
2020-03-22,2020,3,22,Algeria,Africa,42228429,37,5
2020-03-21,2020,3,21,Algeria,Africa,42228429,12,3
2020-03-20,2020,3,20,Algeria,Africa,42228429,18,1
2020-03-19,2020,3,19,Algeria,Africa,42228429,12,1
2020-03-18,2020,3,18,Algeria,Africa,42228429,2,1
2020-03-17,2020,3,17,Algeria,Africa,42228429,10,0
2020-03-16,2020,3,16,Algeria,Africa,42228429,11,2
2020-03-15,2020,3,15,Algeria,Africa,42228429,11,0
2020-03-14,2020,3,14,Algeria,Africa,42228429,1,1
2020-03-13,2020,3,13,Algeria,Africa,42228429,5,1
2020-03-12,2020,3,12,Algeria,Africa,42228429,0,0
2020-03-09,2020,3,9,Algeria,Africa,42228429,3,0
2020-03-06,2020,3,6,Algeria,Africa,42228429,5,0
2020-03-05,2020,3,5,Algeria,Africa,42228429,7,0
2020-03-04,2020,3,4,Algeria,Africa,42228429,2,0
2020-03-02,2020,3,2,Algeria,Africa,42228429,0,0
2020-03-01,2020,3,1,Algeria,Africa,42228429,2,0
2020-02-29,2020,2,29,Algeria,Africa,42228429,0,0
2020-02-28,2020,2,28,Algeria,Africa,42228429,0,0
2020-02-27,2020,2,27,Algeria,Africa,42228429,0,0
2020-02-26,2020,2,26,Algeria,Africa,42228429,1,0
2020-02-25,2020,2,25,Algeria,Africa,42228429,0,0
2020-02-24,2020,2,24,Algeria,Africa,42228429,0,0
2020-02-23,2020,2,23,Algeria,Africa,42228429,0,0
2020-02-22,2020,2,22,Algeria,Africa,42228429,0,0
2020-02-21,2020,2,21,Algeria,Africa,42228429,0,0
2020-02-20,2020,2,20,Algeria,Africa,42228429,0,0
2020-02-19,2020,2,19,Algeria,Africa,42228429,0,0
